time,CP0000EZ19M086NEST,IGREA,COINDUSZ3344,ENRGY0EZ19M086NEST,DEUPROINDMISMEI,OECDCPALTT01GYM,CCUSMA02EZM618N,CP0213EZ19M086NEST,JPNPROINDMISMEI,00XEFDEZ19M086NEST,GBRPROINDMISMEI,JPNPROINDQISMEI,00XTOBEZ19M086NEST,CP0110EZ19M086NEST,CP0700EU272020M086NEST,FRAPROINDMISMEI,CCUSMA02EZQ618N,DEUPROMANMISMEI,KORPROINDMISMEI,CP0000EZCCM086NEST,CANPROINDMISMEI,COOASZ3344,BSCURT02EZQ160S,ELGAS0EUCCM086NEST,BRAPROINDMISMEI,GRCPROINDMISMEI,ITAPROINDMISMEI,ITAPROINDQISMEI,COPRIMZ3344,JPNSARTMISMEI,CP0450EZ19M086NEST,CP0600EZ19M086NEST,G7CPALTT01GPM
2024-01-01,123.58,-5.0429163,102.6,148.57,91.04382,5.665663,0.9170204347826092,127.72,89.21443000000001,116.03,99.10479,90.09534,123.13,138.21,126.26,98.16372,0.921314906832298,92.6548,115.444,123.6,107.5598,89.8,79.0,162.19,95.73234,128.1633,101.0704,100.8949,89.2,101.1216,157.82,110.56,0.3220594379850203
2024-02-01,124.35,21.389345,101.8,150.64,92.10696,5.69155,0.927043333333333,127.74,88.75879,116.82,100.0527,,123.88,137.93,127.98,98.40888,0.9238691858021204,,118.7424,124.37,107.7144,90.1,78.93333333333334,161.65,95.85213,125.481,101.0704,,89.1,,157.98,110.99,0.5129282892310483
2024-03-01,125.29,26.828473,102.0,150.26,91.43041,5.809855000000001,0.919880952380952,128.26,92.31278,118.1,100.2633,,124.82,137.83,128.9,98.08527,0.9264234647719428,,114.912,125.31,,89.6,78.86666666666666,160.69,96.76269,123.8484,100.544,,88.6,,156.65,111.29,
2024-04-01,126.01,1.2419319,101.8,150.67,,5.746180000000001,0.932766818181818,128.56,,118.93,,,125.54,138.03,130.07,,0.9289777437417652,,,126.04,,89.3,78.8,158.7,,,,,88.5,,155.02,111.79,
2024-05-01,126.28,10.423233,102.2,148.85,,5.926442,0.924853913043478,128.1,,119.44,,,125.81,138.34,129.49,,0.9226412671225712,,,126.31,,89.2,78.39999999999999,157.84,,,,,88.1,,154.37,112.45,
2024-06-01,126.55,12.009805,102.4,147.72,,5.677911,0.9293125,127.93,,119.86,,,126.04,138.4,128.93,,0.9163047905033772,,,126.58,,89.3,78.0,158.52,,,,,86.5,,154.98,112.83,
2024-07-01,126.5,12.195899,102.7,148.93,,5.415788,0.92207652173913,128.32,,119.66,,,125.97,138.1,130.34,,0.9099683138841832,,,126.54,,89.4,77.6,161.21,,,,,86.5,,156.3,112.92,
2024-08-01,126.67,0.69182996,102.8,147.3,,4.791856,0.907303181818182,128.65,,120.04,,,126.13,138.05,129.71,,0.9193812562477778,,,126.72,,89.7,77.46666666666667,161.52,,,,,86.8,,156.37,112.81,
2024-09-01,126.56,14.181464,102.9,144.83,,4.466311,0.9005252380952379,128.63,,120.13,,,126.01,138.2,126.95,,0.9287941986113725,,,126.6,,89.7,77.33333333333333,161.59,,,,,87.1,,156.13,112.91,
2024-10-01,126.99,-2.3224493,103.3,145.38,,4.555216000000001,0.917738695652174,128.52,,120.43,,,126.43,139.26,127.53,,0.938207140974967,,,127.03,,90.3,77.2,162.27,,,,,87.6,,156.56,113.22,
2024-11-01,126.58,-10.357875,104.2,146.07,,4.659351999999999,0.94116,128.94,,119.74,,,126.0,139.48,127.09,,,,,126.62,,93.0,,163.56,,,,,88.8,,157.28,113.26,
2024-12-01,127.03,-44.291106,103.4,146.97,,4.684068,0.955722727272727,129.13,,120.28,,,126.45,139.28,128.42,,,,,127.07,,93.1,,164.27,,,,,88.4,,158.23,113.32,
